gene_name,dN,dS,omega
SLI_RS02790,0.00235,0.0283,NA
SLI_RS02795,0.00565,0.00165,NA
SLI_RS02800,0.0031,0.012,0.25734
SLI_RS02815,0.0102,0.0061,1.67736
SLI_RS02820,0,0,0
SLI_RS02825,0,0,0
SLI_RS02830,0.0062,0,NA
SLI_RS02840,0.0052,0,NA
SLI_RS02845,0,0.0468,0
SLI_RS02860,0.0051,0.0094,0.54063
SLI_RS02870,0.0131,0.0063,2.08028
SLI_RS02875,0.0021,0.0173,0.11893
SLI_RS02880,0.0018,0.0026,0.67688
SLI_RS02885,0.007,0.0038,1.85188
SLI_RS02890,0.00453333333333333,0.00273333333333333,NA
SLI_RS02895,0.0027,0.00245,0.551825
SLI_RS02905,0.00155,0,NA
SLI_RS02910,0.0032,0,NA
SLI_RS02915,0.0009,0.0205,0.04538
SLI_RS02925,0.0018,0.0299,0.06183
SLI_RS02945,0.00335,0.00675,0.93215
SLI_RS02950,0.00263333333333333,0.0102,NA
SLI_RS02955,0.00105,0.0377,0.01642
SLI_RS02960,0.0064,0.027,0.23726
SLI_RS02975,0.0007,0.0242,0.02735
SLI_RS02990,0.0066,0,NA
SLI_RS02995,0,0,0
SLI_RS03000,0.0073,0.0061,1.20944
SLI_RS03020,0.0046,0,NA
SLI_RS03025,0,0.0314333333333333,0
SLI_RS03060,0.0062,0.0349,0.17842
SLI_RS03065,0.0037,0.0278,0.13223
SLI_RS03070,0,0.0148,0
SLI_RS03080,0,0.0033,0
SLI_RS03085,0.004,0,NA
SLI_RS03090,0.00445,0.004,0.5588
SLI_RS03095,0.0052,0,NA
SLI_RS03100,0.00705,0.00425,1.73931
SLI_RS03105,0,0,0
SLI_RS03110,0,0,0
SLI_RS03115,0,0,0
SLI_RS03130,0.0027,0.00255,0.52467
SLI_RS03135,0,0.0095,0
SLI_RS03140,0.0007,0,NA
SLI_RS03155,0.0007,0,NA
SLI_RS03165,0.0021,0,NA
SLI_RS03175,0.002075,0.0282,NA
SLI_RS03180,0,0.0746,0
SLI_RS03225,0.00365,0.00355,0.50962
SLI_RS03240,0.0019,0.0188,NA
SLI_RS03245,0,0.01065,0
SLI_RS03250,0.0029,0.0866,0.03405
SLI_RS03255,0.0029,0,NA
SLI_RS03265,0.0016,0,NA
SLI_RS03270,0.0037,0.0027,1.37304
SLI_RS03275,0,0,0
SLI_RS03300,0.0038,0.0128,0.29616
SLI_RS03305,0,0,0
SLI_RS03310,0.0085,0,NA
SLI_RS03315,0.0046,0.0829,0.05589
SLI_RS03325,0.0028,0.00995,NA
SLI_RS03330,0,0,0
SLI_RS03335,0,0,0
SLI_RS03345,0,0.01515,0
SLI_RS03350,0.00106666666666667,0.0460666666666667,0.03455
SLI_RS03355,0,0.0323,0
SLI_RS03390,0.0011,0.0719,0.01593
SLI_RS03395,0.0024,0,NA
SLI_RS03400,0.0038,0,NA
SLI_RS03405,0.00215,0.0262,0.08298
SLI_RS03415,0,0,0
SLI_RS03420,0.0019,0,NA
SLI_RS03430,0,0,0
SLI_RS03440,0,0.0094,0
SLI_RS03445,0,0.03,0
SLI_RS03455,0.0036,0.00645,NA
SLI_RS03465,0.0039,0.0066,0.59703
SLI_RS03475,0.0066,0.0043,1.53566
SLI_RS03480,0,0,0
SLI_RS03485,0.00115,0.0076,NA
SLI_RS03490,0,0.0393,0
SLI_RS03500,0.0014,0.0407,0.03376
SLI_RS03505,0.002,0.0058,NA
SLI_RS03515,0.0005,0.07505,0.01101
SLI_RS03525,0.0018,0,NA
SLI_RS03530,0,0.0138,0
SLI_RS03535,0.0036,0.0116,0.30591
SLI_RS03540,0.0011,0.0031,0.34741
SLI_RS03550,0.00375,0,NA
SLI_RS03555,0,0.0289,0
SLI_RS03565,0.0009,0.007,0.13041
SLI_RS03575,0.001,0.0234,0.04071
SLI_RS03580,0,0,0
SLI_RS03585,0.0042,0.0037,1.14466
SLI_RS03590,0.0007,0.0028,0.23861
SLI_RS03600,0.0046,0.0024,1.90448
SLI_RS03615,0.00205,0.0018,0.577255
SLI_RS03620,0.0027,0.007,0.38997
SLI_RS03625,0.00143333333333333,0,NA
SLI_RS03630,0.0013,0,NA
SLI_RS03650,0.0028,0.0437,0.0631
SLI_RS03670,0.0037,0,NA
SLI_RS03680,0,0.0056,0
SLI_RS03685,0.0011,0.0607,0.0182
SLI_RS03690,0.0047,0,NA
SLI_RS03695,0.0024,0.1452,0.01685
SLI_RS03700,0.0058,0,NA
SLI_RS03705,0.0009,0.0346,0.02588
SLI_RS03710,0.00685,0.02355,NA
SLI_RS03715,0.0013,0,NA
SLI_RS03720,0,0,0
SLI_RS03725,0.0016,0,NA
SLI_RS03730,0.0037,0,NA
SLI_RS03735,0.0024,0.0814,0.02993
SLI_RS03765,0.0032,0.001,1.571145
SLI_RS03770,0,0,0
SLI_RS03775,0.0025,0.0088,0.28903
SLI_RS03780,0.0028,0.0031,0.91259
SLI_RS03790,0.0039,0,NA
SLI_RS03795,0.0009,0.0106,0.08671
SLI_RS03805,0.0095,0,NA
SLI_RS03810,0.0042,0,NA
SLI_RS03820,0.0014,0,NA
SLI_RS03835,0.0013,0.0074,NA
SLI_RS03845,0.0061,0.0146,0.41467
SLI_RS03850,0,0,0
SLI_RS03860,0.0008,0.0515,0.01602
SLI_RS03865,0,0.02275,0
SLI_RS03870,0,0.0847,0
SLI_RS03880,0,0.0374,0
SLI_RS03920,0.0017,0,NA
SLI_RS03935,0,0,0
SLI_RS03950,0.0006,0.0286,NA
SLI_RS03955,0.0033,0,NA
SLI_RS03965,0,0.0044,0
SLI_RS03985,0.0069,0,NA
SLI_RS03990,0,0.0189,0
SLI_RS03995,0,0.0301,0
SLI_RS04010,0,0,0
SLI_RS04015,0,0.0195,0
SLI_RS04020,0.0005,0.0274,0.01928
SLI_RS04025,0,0,0
SLI_RS04040,0.00224,0.09524,NA
SLI_RS04045,0.0036,0.0126,0.28755
SLI_RS04050,0,0,0
SLI_RS04055,0.00485,0,NA
SLI_RS04070,0.0032,0.0029,1.08089
SLI_RS04075,0,0.0209,0
SLI_RS04080,0.0022,0.0167,0.13054
SLI_RS04085,0.00235,0,NA
SLI_RS04090,0,0,0
SLI_RS04100,0.0015,0.0208,0.07396
SLI_RS04105,0,0,0
SLI_RS04110,0,0,0
SLI_RS04115,0,0,0
SLI_RS04120,0.0064,0.0073,0.86942
SLI_RS04125,0.00285,0.0207,0.144405
SLI_RS04135,0.005,0.0162,0.33901
SLI_RS04140,0.0015,0.0234,0.06268
SLI_RS04150,0,0.0077,0
SLI_RS04155,0.0046,0.0347,0.13314
SLI_RS04165,0.00476666666666667,0.00726666666666667,NA
SLI_RS04180,0,0,0
SLI_RS04205,0.0052,0.00276666666666667,NA
SLI_RS04210,0.00705,0.0032,NA
SLI_RS04215,0.0031,0.00845,0.479675
SLI_RS04225,0.0017,0,NA
SLI_RS04230,0,0.0421,0
SLI_RS04240,0,0,0
SLI_RS04245,0.0012,0,NA
SLI_RS04255,0,0.021,0
SLI_RS04260,0.00125,0.02975,0.020835
SLI_RS04290,0.0036,0.005,0.71885
SLI_RS04300,0.0027,0.0222,0.1204
SLI_RS04310,0.0094,0,NA
SLI_RS04315,0,0,0
SLI_RS04335,0.0022,0.0026,0.87454
SLI_RS04345,0.0019,0.0069,0.2768
SLI_RS04350,0.0008,0,NA
SLI_RS04355,0.0031,0.0342,NA
SLI_RS04390,0,0.0193,0
SLI_RS04410,0.0016,0.0102,0.15449
SLI_RS04415,0,0.0435,0
SLI_RS04430,0.0016,0,NA
SLI_RS04435,0.0036,0.0436,0.08368
SLI_RS04440,0.0064,0,NA
SLI_RS04455,0.0015,0,NA
SLI_RS04480,0.0023,0,NA
SLI_RS04485,0,0,0
SLI_RS04495,0.0021,0.0054,0.39252
SLI_RS04500,0,0,0
SLI_RS04505,0.0041,0.0024,1.7506
SLI_RS04515,0.00525,0.00915,NA
SLI_RS04520,0.0012,0.0421,NA
SLI_RS04530,0.00905,0.00235,NA
SLI_RS04570,0.0011,0.059,0.01806
SLI_RS04585,0.0028,0.0307,0.09006
SLI_RS04590,0,0,0
SLI_RS04610,0.00113333333333333,0.011,0.123533333333333
SLI_RS04620,0.0117,0.0185,0.63143
SLI_RS04635,0.0045,0.0144,0.30956
SLI_RS04645,0.0023,0.0074,0.31227
SLI_RS04665,0.0004,0.0298,0.01382
SLI_RS04685,0.001,0.0172,0.05772
SLI_RS04695,0.0027,0.0276,0.09634
SLI_RS04700,0.0024,0.0328,0.169625
SLI_RS04715,0.0019,0.0002,12.13767
SLI_RS04720,0,0.0165,0
SLI_RS04725,0,0.0092,0
SLI_RS04730,0.0082,0.0035,2.32467
SLI_RS04735,0.02195,0,NA
SLI_RS04750,0.00675,0.0157,NA
SLI_RS04755,0.0168,0.1029,0.16363
SLI_RS04865,1.1939,1.8737,0.63718
SLI_RS04935,0.0035,0.0216,0.16299
SLI_RS04940,0.00135,0.00895,0.075175
SLI_RS04955,0,0,0
SLI_RS05000,0,0,0
SLI_RS05020,0.0019,0.0369,0.05056
SLI_RS05035,0.0097,0,NA
SLI_RS05040,0,0.025,0
SLI_RS05045,0.0061,0,NA
SLI_RS05050,0.00297142857142857,0.0155285714285714,NA
SLI_RS05055,0.0069,0.0162,0.42701
SLI_RS05060,0.0051,0.003,1.69331
SLI_RS05070,0.0019,0.004,0.47676
SLI_RS05075,0.0071,0.0073,NA
SLI_RS05080,0.0019,0.0015,1.2809
SLI_RS05085,0,0,0
SLI_RS05090,0.0031,0,NA
SLI_RS05095,0,0,0
SLI_RS05110,0,0,0
SLI_RS05115,0.0005,0.0516,0.00912
SLI_RS05155,0.0033,0.0042,0.79816
SLI_RS05180,0.002,0.0883,0.02309
SLI_RS05190,0,0.0218,0
SLI_RS05195,0,0.0251,0
SLI_RS05200,0.0008,0.0677,0.01184
SLI_RS05220,0.0026,0.0025,1.01829
SLI_RS05225,0.0188,0.0079,2.37401
SLI_RS05230,0.0047,0.01265,NA
SLI_RS05235,0,0.0205,0
SLI_RS05240,0.001,0,NA
SLI_RS05255,0.0053,0,NA
SLI_RS05265,0.0012,0.0304,0.04048
SLI_RS05270,0.0051,0,NA
SLI_RS05285,0.0033,0.0417,0.07986
SLI_RS05290,0.002,0.0063,0.32318
SLI_RS05295,0,0,0
SLI_RS05300,0,0,0
SLI_RS05305,0.0019,0,NA
SLI_RS05310,0.001,0.0467,0.01086
SLI_RS05315,0,0,0
SLI_RS05320,0,0,0
SLI_RS05330,0.0011,0.00415,21.77318
SLI_RS05340,0.0099,0,NA
SLI_RS05345,0,0,0
SLI_RS05350,0.0230333333333333,0.014,1.73784333333333
SLI_RS05370,0.0088,0.004,2.17313
SLI_RS05375,0.00825,0.01005,0.512015
SLI_RS05380,0.0041,0,NA
SLI_RS05385,0,0.0792,0
SLI_RS05390,0,0,0
SLI_RS05395,0.00465,0.00835,NA
SLI_RS05400,0.00196666666666667,0.00463333333333333,NA
SLI_RS05405,0.006,0,NA
SLI_RS05425,0.0025,0.0029,0.85365
SLI_RS05435,0.0023,0,NA
SLI_RS05445,0.0016,0,NA
SLI_RS05455,0,0.0474,0
SLI_RS05470,0.0065,0.00465,NA
SLI_RS05475,0.0134,0,NA
SLI_RS05480,0.0043,0,NA
SLI_RS05485,0.007,0,NA
SLI_RS05490,0.0052,0.01465,0.359325
SLI_RS05495,0.0046,0.0155,NA
SLI_RS05500,0.0061,0,NA
SLI_RS05505,0.0044,0.0243,0.18182
SLI_RS05510,0.0093,0,NA
SLI_RS05515,0.0016,0.0189,0.08546
SLI_RS05520,0.0032,0,NA
SLI_RS05525,0.0018,0.1021,0.01766
SLI_RS05530,0,0,0
SLI_RS05535,0.002,0.0243,0.08152
SLI_RS05550,0.0054,0.00285,NA
SLI_RS05555,0.0046,0.0016,2.81854
SLI_RS05560,0.00805,0.00315,NA
SLI_RS05565,0,0.0151,0
SLI_RS05575,0.0047,0.0035,1.31594
SLI_RS05580,0.0065,0.0019,3.37843
SLI_RS05590,0.0027,0.0108,0.24778
SLI_RS05595,0.00285,0.03395,0.26107
SLI_RS05610,0.0078,0.0021,3.68886
SLI_RS05620,0.009,0.0067,1.33631
SLI_RS05625,0.005,0.00405,0.618515
SLI_RS05630,0.0013,0.0200333333333333,0.05955
SLI_RS05635,0.0061,0.017,0.35669
SLI_RS05645,0.0018,0,NA
SLI_RS05660,0.0026,0.0176,0.14705
SLI_RS05665,0.0222,0.0106,2.10192
SLI_RS05670,0,0,0
SLI_RS05690,0.0043,0.0155,0.27461
SLI_RS05695,0.0025,0.0204,NA
SLI_RS05705,0,0,0
SLI_RS05710,0.0031,0,NA
SLI_RS05730,0.0017,0.0349,0.04794
SLI_RS05735,0.00275,0.0345,NA
SLI_RS05740,0,0.0378,0
SLI_RS05750,0.008,0.0038,2.12662
SLI_RS05755,0.0031,0,NA
SLI_RS05795,0.0012,0,NA
SLI_RS05810,0.0026,0.004,0.65654
SLI_RS05815,0.0013,0.003,0.43019
SLI_RS05820,0.0101,0,NA
SLI_RS05825,0.0035,0,NA
SLI_RS05835,0.0042,0.085,0.04934
SLI_RS05840,0.0023,0.0765,0.03041
SLI_RS05845,0.00405,0,NA
SLI_RS05855,0.0018,0.0051,0.36342
SLI_RS05860,0.00265,0.05615,0.04074
SLI_RS05865,0.0009,0.0128,0.07159
SLI_RS05880,0.0039,0,NA
SLI_RS05890,0.0037,0.0023,1.58586
SLI_RS05895,0.0029,0,NA
SLI_RS05905,0,0,0
SLI_RS05910,0.0028,0.0025,1.10966
SLI_RS05915,0.00162,0.00868,NA
SLI_RS05920,0.0035,0,NA
SLI_RS05925,0.0022,0,NA
SLI_RS05930,0.0016,0,NA
SLI_RS05945,0,0.0171,0
SLI_RS05950,0.0002,0.0145,0.00557333333333333
SLI_RS05955,0,0,0
SLI_RS05965,0.0013,0,NA
SLI_RS05975,0.0012,0,NA
SLI_RS05985,0.0003,0.0231,0.01514
SLI_RS06005,0.0047,0,NA
SLI_RS06010,0.00145,0.0262,0.26681
SLI_RS06015,0.00103333333333333,0.0178666666666667,0.05136
SLI_RS06025,0,0.0096,0
SLI_RS06030,0,0,0
SLI_RS06035,0,0,0
SLI_RS06040,0,0,0
SLI_RS06045,0.00205,0,NA
SLI_RS06055,0,0.0038,0
SLI_RS06065,0.0038,0,NA
SLI_RS06075,0.0024,0.0023,1.073
SLI_RS06085,0.0078,0.0102,0.76529
SLI_RS06090,0.0042,0.0051,0.82595
SLI_RS06095,0.0032,0,NA
SLI_RS06105,0.0027,0,NA
SLI_RS06110,0.0038,0.0041,0.92395
SLI_RS06115,0.00405,0.0009,NA
SLI_RS06125,0.0017,0.0165,0.10128
SLI_RS06130,0.0038,0.0083,0.45976
SLI_RS06135,0.0025,0.003,0.81372
SLI_RS06140,0.004,0,NA
SLI_RS06155,0.00075,0.0305,0.037555
SLI_RS06160,0.00545,0.0151,NA
SLI_RS06165,0.00325,0.02955,0.115995
SLI_RS06170,0.0033,0.0112,0.29098
SLI_RS06175,0.0012,0.0157,0.07355
SLI_RS06180,0.0024,0.0233,0.10416
SLI_RS06185,0.0006,0.04405,0.044235
SLI_RS06190,0.007,0.01035,0.64605
SLI_RS06195,0.002,0,NA
SLI_RS06200,0,0,0
SLI_RS06205,0,0,0
SLI_RS06210,0.001,0,NA
SLI_RS06230,0.0021,0.0239,0.08767
SLI_RS06240,0.0025,0.0439,0.05596
SLI_RS06245,0.0061,0.0538,0.11315
SLI_RS06250,0.00105,0.01985,0.15078
SLI_RS06255,0,0.0171,0
SLI_RS06260,0.0025,0.0267,0.09195
SLI_RS06265,0.0027,0,NA
SLI_RS06275,0.0021,0,NA
SLI_RS06285,0,0,0
SLI_RS06290,0.003,0.0028,1.06658
SLI_RS06305,0.002,0.0089,0.22396
SLI_RS06315,0.0009,0.0401,0.02347
SLI_RS06320,0.0028,0,NA
SLI_RS06325,0.0051,0,NA
SLI_RS06330,0,0,0
SLI_RS06335,0.0029,0,NA
SLI_RS06370,0.0017,0,NA
SLI_RS06380,0,0.0103,0
SLI_RS06390,0.0059,0.0139,0.42615
SLI_RS06400,0.00175,0.0179,NA
SLI_RS06405,0.0036,0,NA
SLI_RS06420,0.0043,0.04245,1.16094
SLI_RS06425,0,0.0251,0
SLI_RS06430,0,0,0
SLI_RS06435,0.006,0.0172,0.361686666666667
SLI_RS06440,0.0048,0,NA
SLI_RS06445,0.0014,0,NA
SLI_RS06460,0,0.00195,0
SLI_RS06475,0.0029,0,NA
SLI_RS06490,0.0048,0.0266,0.17835
SLI_RS06495,0,0.0235,0
SLI_RS06500,0.0066,0.0527,0.12576
SLI_RS06510,0.0039,0,NA
SLI_RS06520,0,0,0
SLI_RS06525,0.0143,0.0188,0.7623
SLI_RS06530,0,0.0241,0
SLI_RS06535,0.0028,0.00665,0.793205
SLI_RS06540,0.0039,0.0584,0.06599
SLI_RS06550,0.0021,0,NA
SLI_RS06555,0,0,0
SLI_RS06560,0.00215,0.03795,0.07444
SLI_RS06565,0,0,0
SLI_RS06575,0.0015,0.00885,NA
SLI_RS06590,0,0.0587,0
SLI_RS06595,0.0089,0.006,1.4839
SLI_RS06620,0.0053,0.0664,0.08011
SLI_RS06630,0.0072,0,NA
SLI_RS06635,0.00356666666666667,0.00556666666666667,NA
SLI_RS06645,0.0026,0.0207,0.12574
SLI_RS06650,0,0.0054,0
SLI_RS06660,0.0066,0.1039,0.0636
SLI_RS06670,0.0024,0.0328,0.07235
SLI_RS06675,0,0.01704,0
SLI_RS06690,0.0035,0.0056,0.62817
SLI_RS06695,0.0067,0,NA
SLI_RS06700,0,0.0032,0
SLI_RS06710,0,0.0096,0
SLI_RS06715,0.0069,0,NA
SLI_RS06720,0.0063,0.00175,NA
SLI_RS06725,0.0004,0.0764,0.00484
SLI_RS06735,0,0,0
SLI_RS06740,0.0027,0.0174,0.15243
SLI_RS06745,0.0008,0.01585,NA
SLI_RS06760,0.00155,0.00775,0.101195
SLI_RS06775,0.0005,0.0035,0.12898
SLI_RS06785,0.0022,0,NA
SLI_RS06795,0.0027,0,NA
SLI_RS06800,0.00206666666666667,0.0412,NA
SLI_RS06810,0.0026,0.1076,0.02431
SLI_RS06815,0.0013,0.0487,0.02645
SLI_RS06820,0.00685,0.0097,0.880225
SLI_RS06830,0,0,0
SLI_RS06870,0.0007,0.0238,0.03073
SLI_RS06875,0.0006,0.019,0.03248
SLI_RS06885,0,0.0379,0
SLI_RS06915,0.0052,0.021,0.24559
SLI_RS06920,0,0.0548,0
SLI_RS06925,0.0017,0.023,0.07275
SLI_RS06935,0.0064,0.0039,1.63104
SLI_RS06940,0.0017,0.0045,0.36945
SLI_RS06955,0,0,0
SLI_RS06970,0,0.0204,0
SLI_RS06980,0,0,0
SLI_RS06995,0,0,0
SLI_RS07000,0,0.0337,0
SLI_RS07005,0,0,0
SLI_RS07010,0.0016,0.0149,NA
SLI_RS07025,0,0.0406,0
SLI_RS07030,0.0039,0.0802,0.04884
SLI_RS07050,0,0.0597,0
SLI_RS07060,0,0.0659,0
SLI_RS07070,0,0.011,0
SLI_RS07080,0,0,0
SLI_RS07085,0,0,0
SLI_RS07090,0,0.0001,0
SLI_RS07100,0,0,0
SLI_RS07110,0.0051,0.0069,1.11112
SLI_RS07115,0.0056,0,NA
SLI_RS07125,0,0.0395,0
SLI_RS07140,0,0,0
SLI_RS07145,0.0038,0,NA
SLI_RS07155,0.001,0.0084,0.058945
SLI_RS07175,0.0012,0.1352,0.0091
SLI_RS07180,0.0026,0.1165,0.02272
SLI_RS07190,0.0005,0.0163,0.01558
SLI_RS07205,0,0.0361,0
SLI_RS07210,0.0022,0.0353,0.06173
SLI_RS07215,0,0.0305,0
SLI_RS07225,0,0.0145,0
SLI_RS07230,0,0.0052,0
SLI_RS07235,0.0013,0.0083,0.15171
SLI_RS07240,0.0023,0.008,0.28979
SLI_RS07260,0.07815,0.11135,0.421095
SLI_RS07270,0,0,0
SLI_RS07275,0,0.0083,0
SLI_RS07285,0.0039,0.00255,NA
SLI_RS07305,0,0.0132,0
SLI_RS07315,0,0.00475,0
SLI_RS07320,0,0,0
SLI_RS07325,0,0,0
SLI_RS07330,0,0,0
SLI_RS07335,0,0.0342,0
SLI_RS07345,0.0003,0.0104333333333333,NA
SLI_RS07350,0.0005,0.02665,0.00975
SLI_RS07355,0,0,0
SLI_RS07360,0,0,0
SLI_RS07365,0,0.0104,0
SLI_RS07370,0,0.0254,0
SLI_RS07385,0.0013,0.0272,0.08527
SLI_RS07390,0,0.0203,0
SLI_RS07410,0,0.0341,0
SLI_RS07415,0,0,0
SLI_RS07420,0.0027,0.0037,0.71132
SLI_RS07425,0,0,0
SLI_RS07435,0,0.0316,0
SLI_RS07440,0,0,0
SLI_RS07450,0,0.0253,0
SLI_RS07455,0,0.0168,0
SLI_RS07460,0.0023,0,NA
SLI_RS07480,0,0.0462,0
SLI_RS07490,0,0.0708,0
SLI_RS07500,0,0.0395,0
SLI_RS07505,0.00275,0,NA
SLI_RS07515,0.0017,0,NA
SLI_RS07520,0.00285,0.09645,0.01585
SLI_RS07525,0,0.056,0
SLI_RS07530,0,0.1321,0
SLI_RS07535,0,0.0187,0
SLI_RS07550,0.0006,0.00855,0.03408
SLI_RS07555,0.0061,0,NA
SLI_RS07575,0.002,0,NA
SLI_RS07580,0,0.0188,0
SLI_RS07590,0.0151,0.0227333333333333,0.450443333333333
SLI_RS07600,0.0019,0,NA
SLI_RS07605,0.0026,0,NA
SLI_RS07625,0,0,0
SLI_RS07630,0.0024,0,NA
SLI_RS07650,0,0,0
SLI_RS07665,0.00415,0.0113,NA
SLI_RS07670,0,0,0
SLI_RS07680,0.00225,0.0454,0.08938
SLI_RS07705,0,0,0
SLI_RS07740,0,0.0248,0
SLI_RS07750,0.0007,0.03445,0.010185
SLI_RS07760,0,0,0
SLI_RS07770,0.00523333333333333,0.0209,NA
SLI_RS07785,0,0,0
SLI_RS07790,0,0.0257,0
SLI_RS07795,0,0.0163,0
SLI_RS07805,0.0038,0.0018,NA
SLI_RS07815,0.0053,0.0026,2.06758
SLI_RS07820,0,0,0
SLI_RS07825,0.00295,0.00215,0.68537
SLI_RS07830,0,0.1092,0
SLI_RS07840,0,0.0049,0
SLI_RS07845,0.0006,0.0271666666666667,0.01534
SLI_RS07870,0.002,0.00566666666666667,0.11827
SLI_RS07875,0.0027,0.0259,0.10435
SLI_RS07880,0,0.00725,0
SLI_RS07885,0.0025,0.0161,0.15532
SLI_RS07890,0.0023,0.0253,0.08887
SLI_RS07900,0,0.0448,0
SLI_RS07905,0.0029,0.0793,0.03599
SLI_RS07915,0.0044,0.0133,0.33062
SLI_RS07930,0.0059,0.0051,1.1661
SLI_RS07935,0,0.03455,0
SLI_RS07950,0.0008,0.0735,0.01049
SLI_RS07955,0,0,0
SLI_RS07965,0,0.0394,0
SLI_RS07970,0.0079,0,NA
SLI_RS07975,0.00085,0.04255,0.011235
SLI_RS07990,0,0.046,0
SLI_RS07995,0.0045,0,NA
SLI_RS08005,0.002,0.0281,0.07095
SLI_RS08025,0,0,0
SLI_RS08030,0,0.0236,0
SLI_RS08050,0,0.0434,0
SLI_RS08055,0,0.0211,0
SLI_RS08060,0,0.036,0
SLI_RS08065,0.0011,0.0225,0.04715
SLI_RS08075,0,0.0269,0
SLI_RS08085,0.004,0.00445,NA
SLI_RS08095,0.0144,0.0664,0.21702
SLI_RS08100,0,0.0367,0
SLI_RS08105,0.2262,1.9358,0.11684
SLI_RS08110,0.0054,0.3749,0.01451
SLI_RS08115,0,0.0351,0
SLI_RS08125,0.0002,0.0320333333333333,0.00796666666666667
SLI_RS08130,0,0.0138,0
SLI_RS08140,0.001,0.0629,0.01528
SLI_RS08145,0,0,0
SLI_RS08155,0,0.0195,0
SLI_RS08165,0,0.0203,0
SLI_RS08175,0.0012,0.0777,0.01527
SLI_RS08190,0.0016,0,NA
SLI_RS08200,0,0,0
SLI_RS08205,0.0036,0,NA
SLI_RS08210,0.0028,0.0071,0.39396
SLI_RS08220,0,0.0133,0
SLI_RS08225,0.0014,0,NA
SLI_RS08230,0,0.0273,0
SLI_RS08235,0.0043,0,NA
SLI_RS08240,0.0014,0,NA
SLI_RS08245,0.0029,0.0689,0.0140066666666667
SLI_RS08250,0.00763333333333333,0.1708,NA
SLI_RS08255,0,0.0102,0
SLI_RS08260,0.00143333333333333,0.0065,NA
SLI_RS08265,0,0,0
SLI_RS08280,0.0027,0,NA
SLI_RS08285,0.0038,0,NA
SLI_RS08295,0.0007,0,NA
SLI_RS08305,0,0.0125,0
SLI_RS08310,0,0,0
SLI_RS08315,0.0108,0,NA
SLI_RS08320,0.0025,0,NA
SLI_RS08325,0.0018,0,NA
SLI_RS08330,0,0.0071,0
SLI_RS08360,0.007,0,NA
SLI_RS08370,0,0,0
SLI_RS08375,0,0,0
SLI_RS08380,0.0015,0.0146,0.0516
SLI_RS08390,0.0045,0,NA
SLI_RS08395,0.007,0.00145,NA
SLI_RS08405,0.001,0.0371,0.026
SLI_RS08410,0,0.0524,0
SLI_RS08420,0.020675,0.10455,0.2123175
SLI_RS08425,0.0045,0.0302,0.14941
SLI_RS08430,0.0019,0.0234,0.08331
SLI_RS08440,0.00095,0,NA
SLI_RS08450,0.005,0.0019,2.57383
SLI_RS08455,0,0,0
SLI_RS08460,0.00075,0.00925,NA
SLI_RS08465,0.0069,0,NA
SLI_RS08470,0,0,0
SLI_RS08475,0,0,0
SLI_RS08490,0.0027,0,NA
SLI_RS08500,0.00225,0,NA
SLI_RS08505,0.0047,0,NA
SLI_RS08510,0.0056,0.0086,0.65142
SLI_RS08515,0,0.0079,0
SLI_RS08520,0,0.01225,0
SLI_RS08525,0.0039,0.01175,0.191425
SLI_RS08530,0,0,0
SLI_RS08535,0.000366666666666667,0.00643333333333333,0.01906
SLI_RS08550,0.0059,0,NA
SLI_RS08555,0.0011,0,NA
SLI_RS08560,0.0014,0,NA
SLI_RS08565,0.0034,0,NA
SLI_RS08590,0,0.0281,0
SLI_RS08595,0,0,0
SLI_RS08600,0,0.0157,0
SLI_RS08625,0,0,0
SLI_RS08635,0.0016,0.0024,0.68738
SLI_RS08640,0,0,0
SLI_RS08650,0,0,0
SLI_RS08675,0,0.0702,0
SLI_RS08685,0.0015,0.0971,0.01507
SLI_RS08690,0.001,0.0163,0.06009
SLI_RS08695,0.0014,0,NA
SLI_RS08700,0.00065,0.0182,0.02545
SLI_RS08705,0,0.0273,0
SLI_RS08715,0,0.014,0
SLI_RS08725,0,0.0442,0
SLI_RS08755,0.0013,0.0739,0.01706
SLI_RS08765,0.0019,0,NA
SLI_RS08780,0.001,0.0183,0.05246
SLI_RS08795,0,0.0183,0
SLI_RS08800,0.0012,0.0249,0.04994
SLI_RS08805,0.0016,0.0122,0.12873
SLI_RS08810,0,0.015,0
SLI_RS08815,0.0013,0.0132,0.10183
SLI_RS08820,0,0.014,0
SLI_RS08825,0.0021,0.0313,0.06824
SLI_RS08830,0.0011,0.02,0.05472
SLI_RS08835,0.0035,0.0072,0.48572
SLI_RS08845,0.0111666666666667,0.00256666666666667,NA
SLI_RS08880,0,0,0
SLI_RS08885,0.0016,0,NA
SLI_RS08890,0.0094,0,NA
SLI_RS08895,0.00055,0.0205,0.01373
SLI_RS08900,0.0016,0.0119,NA
SLI_RS08905,0,0.005,0
SLI_RS08910,0.0009,0.0557,0.01637
SLI_RS08915,0.0037,0.0065,0.5714
SLI_RS08920,0,0,0
SLI_RS08945,0.0008,0.0217,0.03906
SLI_RS08955,0.0051,0.0097,0.53066
SLI_RS08960,0.002,0,NA
SLI_RS08965,0,0,0
SLI_RS08970,0,0.0036,0
SLI_RS08975,0.0064,0.0001,44.65185
SLI_RS08980,0,0.01245,0
SLI_RS08985,0.0041,0,NA
